Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Arihant Academy,https://scanx.trade/company/arihant-academy-ltd,490,2.08%,475,800,296.7,47.38,41.09,540,200,-3.43%,22.50%,126.33%,312.11%,312.11%,10.01,0.21%,-,22.25%,-,476.78,330.01,51.62,-,-
BPL,https://scanx.trade/company/bpl-ltd,60.41,-2.89%,62.39,"85,017",295.86,-20.65,30.78,122.59,50,-3.47%,-25.24%,-49.52%,-2.17%,174.59%,1.22,-,-,0.57%,-,65.73,77.18,49.89,0.00%,-
PPAP Automotive,https://scanx.trade/company/ppap-automotive-ltd,209.55,-1.91%,213,"10,415",295.78,175.74,176.6,294.79,154.05,-8.25%,-10.74%,-7.23%,-6.91%,-19.09%,1.06,1.16%,-,6.85%,-,239.55,218.91,36.44,-,-
Almondz Global Securities,https://scanx.trade/company/almondz-global-securities-ltd,16.99,-2.36%,17.94,"56,923",295.03,15.68,-3.94,34.85,14.41,-0.18%,-13.45%,-48.30%,50.75%,389.63%,1.17,-,-,8.16%,-,17.05,20.12,53.6,50.00%,-
Nagarjuna Fertilizers & Chemicals,https://scanx.trade/company/nagarjuna-fertilizers-chemicals-ltd,4.93,-1.60%,5.01,"2,27,403",294.85,-12.22,33.21,9.66,4.04,6.94%,-6.45%,-47.55%,-56.75%,-6.10%,-0.32,-,-,-291.01%,-,4.76,5.26,57.61,-,-
Gretex Industries,https://scanx.trade/company/gretex-industries-ltd,190,-,-,-,294.62,162.39,41.17,263.4,180.5,1.06%,-,-21.15%,1106.35%,2148.52%,5.66,-,-,6.13%,-,210.59,150.85,45.53,-,-
SKP Bearing Industries,https://scanx.trade/company/skp-bearing-industries-ltd,177.4,1.37%,168.1,"7,000",294.48,97.77,20.78,263,159.95,-17.10%,-21.24%,-26.16%,-6.11%,144.86%,5.68,0.63%,25.33%,12.34%,6.43,202.53,218.87,44.53,-,-
Alankit,https://scanx.trade/company/alankit-ltd,10.86,-0.46%,11.15,"2,24,736",294.48,14.12,40.47,23.5,10.38,1.40%,-17.23%,-50.55%,0.56%,-33.37%,0.96,-,7.41%,10.58%,0.89,11.3,13.82,46.99,50.00%,-
KCP Sugar & Industries,https://scanx.trade/company/kcp-sugar-and-industries-ltd,25.9,-0.65%,25.81,"76,010",293.67,-7.36,-155.68,48.49,24.26,-2.78%,-19.14%,-40.81%,-3.54%,57.93%,0.63,0.38%,-,7.21%,-,28.27,33.04,38.78,50.00%,-
Vaidya Sane Ayurved Laboratories,https://scanx.trade/company/madhavbaug-ltd,279.15,-0.66%,311,"41,200",293.48,41.38,-84.21,313,81.1,-0.30%,-4.89%,101.12%,60.75%,164.85%,4.72,-,-,5.46%,-,272.63,202.9,52.34,-,-
Jeyyam Global Foods,https://scanx.trade/company/jeyyam-global-foods-ltd,61.65,-0.48%,62,"50,000",292.82,-,18.01,74.5,31,-9.47%,9.99%,35.49%,-3.75%,-3.75%,-,-,-,19.19%,-,66.63,48.67,37.4,-,-
Vardhman Polytex,https://scanx.trade/company/vardhman-polytex-ltd,6.38,2.24%,6.37,"1,74,733",292.77,-,17.79,15.39,5.38,-5.34%,-28.40%,-50.00%,275.29%,394.57%,-0.76,-,-,-13.49%,-,7.04,9.62,45.29,-,-
Filatex Fashions,https://scanx.trade/company/filatex-fashions-ltd,0.35,-2.78%,0.37,"12,63,00,035",291.69,37,25.18,0.86,0.35,-14.63%,-42.62%,-58.33%,-86.49%,-86.49%,0.13,-,-,0.63%,-,0.43,0.52,36.6,-,-
Clear Secured Services,https://scanx.trade/company/clear-secured-services-ltd,121.3,-2.49%,124,"1,51,000",291.69,30.12,41.09,128.8,96.75,7.30%,7.30%,7.30%,7.30%,7.30%,1.63,-,-,23.46%,-,-,-,-,-,-
Starteck Finance,https://scanx.trade/company/starteck-finance-ltd,293.95,1.85%,290.05,"10,313",291.31,18.03,-3.94,359.7,253.85,-1.41%,-8.85%,1.27%,110.11%,80.12%,1.13,0.09%,-,7.12%,-,292.15,300.84,55.83,-,-
