Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Sula Vineyards,https://scanx.trade/company/sula-vineyards-ltd,227.49,1.41%,224.5,"3,84,074","1,920.70",38.51,42.5,432.8,206.98,-3.69%,-17.81%,-44.49%,-31.88%,-31.31%,3.34,1.61%,16.97%,16.92%,11.17,236.51,270.27,53.48,69.67%,75.00%
Mukand,https://scanx.trade/company/mukand-ltd,132.7,-1.57%,132.55,"63,123","1,917.46",30.12,25.38,162,84.4,1.41%,-2.05%,0.50%,16.40%,122.46%,2.04,1.48%,11.15%,22.06%,6.65,133.67,124.41,49.05,50.00%,-
Stove Kraft,https://scanx.trade/company/stovekraft-ltd,577.2,-2.04%,592.4,"38,347","1,910.62",22.35,57.25,975.4,524.7,-3.48%,-17.55%,-31.52%,10.77%,29.43%,6.43,-,27.02%,28.95%,24.77,641.56,641.46,41.39,50.00%,60.00%
InfoBeans Technologies,https://scanx.trade/company/infobeans-technologies-ltd,780.6,2.96%,762.45,"2,54,484","1,908.99",28.86,40.47,853.4,270.55,46.88%,50.42%,86.99%,64.41%,490.69%,4.98,0.13%,7.60%,14.62%,10.98,622.72,477.67,65.08,50.00%,-
Spectrum Electrical Industries,https://scanx.trade/company/spectrum-electrical-industries-ltd,"1,209.40",-0.21%,"1,207.10",220,"1,900.43",64.02,2.59,"2,400.00","1,061.70",5.56%,-15.15%,-43.01%,1341.48%,1915.67%,8.84,-,-,19.04%,-,"1,302.35","1,512.36",47.77,60.00%,-
BLS E-Services,https://scanx.trade/company/bls-e-services-ltd,208.28,-2.95%,214,"2,06,552","1,892.36",29.08,40.47,232.5,131.31,-5.62%,7.68%,1.60%,-43.09%,-43.09%,3.87,0.47%,-,15.26%,-,202.68,185.15,48.49,-,-
Delta Corp,https://scanx.trade/company/delta-corp-ltd,70.17,-1.45%,71.1,"3,76,917","1,878.95",7.47,46.06,131.2,65.8,3.18%,-14.26%,-37.72%,-65.80%,-56.25%,0.83,1.76%,9.72%,14.69%,5.9,72.61,83.67,47.38,67.77%,75.00%
Hi-Tech Pipes,https://scanx.trade/company/hitech-pipes-ltd,91.37,1.70%,91.45,"12,11,334","1,855.80",23.4,25.38,165.45,84.8,-7.66%,-24.10%,-43.49%,25.22%,346.58%,1.41,0.03%,9.01%,10.70%,3.61,103.42,100.34,36.53,64.25%,75.00%
Rico Auto Industries,https://scanx.trade/company/rico-auto-industries-ltd,136.96,9.58%,126.7,"4,21,87,060","1,852.86",38.85,176.6,130.74,54,29.97%,34.96%,61.93%,77.64%,302.23%,2.25,0.40%,7.38%,8.59%,2.87,103.79,84.05,69.08,50.00%,70.00%
Divgi Torqtransfer Systems,https://scanx.trade/company/divgi-torqtransfer-systems-ltd,605.45,2.10%,610,"4,916","1,851.64",59.94,176.6,700,410.1,1.09%,-9.94%,-2.55%,0.04%,0.04%,2.98,0.44%,6.85%,5.53%,11.53,612.75,585.66,52.73,50.00%,-
India Nippon Electricals,https://scanx.trade/company/india-nippon-electricals-ltd,818.3,3.03%,802.15,"49,855","1,851.11",20.04,176.6,"1,099.90",545.3,-1.46%,-15.43%,14.78%,114.41%,126.71%,2.28,1.58%,8.61%,13.68%,30.14,890.58,782.02,46.38,50.00%,-
SMC Global Securities,https://scanx.trade/company/smc-global-securities-ltd,88.04,-1.46%,89.4,"10,27,158","1,843.56",18.86,-3.94,90.9,50.5,52.11%,24.70%,27.95%,128.79%,84.57%,1.48,1.35%,17.15%,17.14%,20.08,70.33,66.28,70.11,60.00%,-
Genesys International Corp,https://scanx.trade/company/genesys-international-corp-ltd,439.45,-3.42%,453.8,"1,49,585","1,833.34",32.35,40.47,"1,055.00",390.25,0.94%,-16.86%,-52.64%,3.31%,726.03%,2.78,-,3.66%,15.53%,5.57,467.25,594.18,50.19,50.00%,100.00%
Garuda Construction & Engineering,https://scanx.trade/company/garuda-construction-and-engineering-ltd,196.92,-1.93%,200.99,"3,50,013","1,832.18",21.76,14.23,249.3,87.5,-4.80%,1.88%,74.37%,85.14%,85.14%,4.84,0.01%,-,20.41%,-,211.49,160.99,41.42,50.00%,70.00%
Oriental Hotels,https://scanx.trade/company/oriental-hotels-ltd,102.3,-0.69%,103,"2,85,427","1,827.07",37.09,281.14,187.35,98.08,-15.99%,-24.13%,-41.11%,49.13%,301.96%,2.65,0.49%,8.09%,10.20%,2.29,116.26,137.25,34.18,50.00%,-
TIL,https://scanx.trade/company/til-ltd,274,0.16%,276.2,"11,399","1,824.90",-232.2,38.24,409,165.4,-1.97%,-14.55%,-4.91%,66.57%,63.44%,21.85,-,-,12.64%,-,284.45,295.38,49,-,-
One Mobikwik Systems,https://scanx.trade/company/one-mobikwik-systems-ltd,232.48,-0.64%,233.96,"6,15,998","1,816.88",-10.11,41.09,698.3,219.2,-3.37%,-15.98%,-61.82%,-55.97%,-55.97%,3.51,-,-,-15.20%,-,247.54,261.93,42.72,60.00%,70.00%
Ador Welding,https://scanx.trade/company/ador-welding-ltd,"1,032.90",0.30%,"1,020.40","7,814","1,797.54",32.73,13.96,"1,260.00",788,-4.05%,2.43%,-9.13%,32.86%,291.40%,3.63,1.95%,16.01%,17.51%,36.6,"1,081.20",994.32,42.58,68.34%,-
Servotech Renewable  Power,https://scanx.trade/company/servotech-power-systems-ltd,79.38,1.02%,78.6,"3,57,739","1,792.76",81.01,2.59,172.9,76,-16.16%,-37.59%,-50.92%,474.38%,3716.35%,6.85,0.06%,13.47%,19.58%,0.54,99.17,123.23,30.2,50.00%,70.00%
Nitin Spinners,https://scanx.trade/company/nitin-spinners-ltd,317.65,-0.49%,319.2,"43,823","1,785.83",10.78,17.79,465.95,290.5,-3.73%,-7.13%,-30.19%,66.13%,353.79%,1.31,0.94%,16.02%,15.77%,25.74,325.15,352.31,44.69,50.00%,-
Asian Granito,https://scanx.trade/company/asian-granito-india-ltd,76.32,-2.00%,77.9,"32,60,823","1,769.95",58.83,-22.23,78.8,39.15,16.64%,24.91%,11.79%,60.67%,-56.87%,1.25,-,-,2.33%,-,65.65,57.83,72.02,-,-
DCW,https://scanx.trade/company/dcw-ltd,59.81,-2.16%,60.7,"5,96,736","1,765.32",36.12,32.96,93.3,51.26,-5.11%,-17.90%,-34.22%,33.65%,33.65%,1.7,0.16%,-1.06%,1.09%,0.46,62.7,73.31,48.41,63.22%,75.00%
Bliss GVS Pharma,https://scanx.trade/company/bliss-gvs-pharma-ltd,166.73,-5.22%,174.48,"11,75,834","1,760.83",16.11,25.01,190.97,108.12,-1.59%,10.01%,4.26%,128.71%,-10.41%,1.64,0.28%,8.13%,11.85%,9.74,158.12,146.5,54.01,50.00%,-
Stallion India Fluorochemicals,https://scanx.trade/company/stallion-india-fluorochemicals-ltd,221.92,5.00%,211.36,"3,34,853","1,760.39",-,205.33,423.8,60,18.52%,7.03%,76.13%,76.13%,76.13%,-,-,-,16.13%,-,237.98,148.92,55.12,-,-
Cosmo First,https://scanx.trade/company/cosmo-films-ltd,668.95,-0.54%,681.6,"30,796","1,755.98",12.07,13.6,"1,307.20",525.7,-5.54%,-25.67%,-27.54%,-6.66%,123.58%,1.15,0.59%,4.62%,9.13%,30.19,775.69,871.84,33.77,50.00%,-
Yasho Industries,https://scanx.trade/company/yasho.ltd,"1,455.60",0.23%,"1,437.70","3,784","1,755.03",137.71,205.33,"2,343.85","1,415.50",-10.19%,-13.89%,-28.05%,-18.76%,-18.76%,4.09,0.03%,19.66%,8.84%,35.69,"1,588.07","1,765.60",35.58,50.00%,-
SP Apparels,https://scanx.trade/company/sp-apparels-ltd,698.65,-1.58%,702.75,"33,089","1,753.09",16.09,25.18,965,628,-9.37%,-2.14%,-25.85%,123.96%,362.53%,1.98,-,12.37%,16.54%,36.96,734.9,764.27,39.71,50.00%,-
Panama Petrochem,https://scanx.trade/company/panama-petrochem-ltd,288.85,-1.06%,290.05,"9,080","1,747.36",9.34,32.96,403.9,265.55,-2.60%,-0.31%,-25.07%,-14.84%,182.49%,1.31,1.03%,17.70%,18.99%,32.97,283.76,332.16,53.97,67.60%,-
Associated Alcohols & Breweries,https://scanx.trade/company/associated-alcohols-breweries-ltd,962.35,-0.23%,963.1,"19,722","1,739.85",21.26,42.5,"1,496.00",915.1,1.09%,-3.25%,-13.02%,126.44%,221.64%,3.12,0.20%,18.03%,20.30%,30.97,"1,011.26","1,090.98",47.56,50.00%,-
MM Forgings,https://scanx.trade/company/mm-forgings-ltd,357.8,-2.20%,366.2,"43,686","1,727.52",18.52,20.81,490.8,288.1,14.68%,10.96%,-26.67%,-14.08%,76.73%,1.91,1.09%,17.11%,14.43%,27.88,327.59,340.46,55.95,50.00%,-
Vidhi Specialty Food Ingredients,https://scanx.trade/company/vidhi-specialty-food-ingredients-ltd,344.75,2.93%,331,"5,609","1,721.85",34.9,-67.35,565.4,272.05,-5.57%,-6.74%,-34.90%,0.45%,194.66%,5.4,1.05%,15.04%,20.18%,7.31,346.67,394.92,51.39,50.00%,-
V Marc,https://scanx.trade/company/v-marc-india-ltd,705,1.33%,714.95,"4,750","1,721.66",47.07,22.62,805,200.3,-3.16%,62.69%,83.16%,1242.86%,1396.82%,8.97,-,-,29.97%,-,668.09,440.53,55.79,-,-
All Time Plastics,https://scanx.trade/company/all-time-plastics-ltd,262.45,-1.54%,266.45,"46,072","1,719.25",44.96,29.01,334.9,256.8,-4.62%,-4.56%,-7.36%,-7.36%,-7.36%,2.93,-,-,20.98%,-,280.36,-,40.74,-,70.00%
Talbros Automotive Components,https://scanx.trade/company/talbros-automotive-components-ltd,276.95,-2.19%,283.15,"54,303","1,709.56",18.27,176.6,326,200.2,4.73%,-11.33%,-11.64%,165.94%,877.24%,2.57,0.25%,15.12%,19.51%,13.52,285.47,278.15,44.57,50.00%,-
NELCO,https://scanx.trade/company/nelco-ltd,743.3,0.03%,746.75,"40,872","1,696.09",395.4,51.73,"1,416.95",706.95,-12.34%,-13.59%,-44.59%,9.91%,283.84%,13.2,0.13%,19.15%,18.66%,9.86,824.75,870.71,36.01,50.00%,65.00%
Somany Ceramics,https://scanx.trade/company/somany-ceramics-ltd,411.4,0.37%,415.75,"12,138","1,687.27",35.01,-22.23,669.95,395.25,-4.78%,-12.20%,-36.96%,-14.03%,25.54%,2.14,0.73%,11.93%,12.15%,22.32,434.65,472.95,39.01,50.00%,-
Windlas Biotech,https://scanx.trade/company/windlas.ltd,796.85,-1.12%,800,"21,515","1,679.54",25.36,25.01,"1,140.00",665.1,3.15%,-14.78%,-22.76%,223.92%,95.71%,3.2,0.71%,10.60%,16.47%,28.52,837.79,925.45,49.97,50.00%,-
Aimtron Electronics,https://scanx.trade/company/aimtron-electronics-ltd,819.7,-0.14%,820,"19,400","1,673.32",65.35,30.78,"1,040.00",358,-16.61%,13.58%,45.03%,223.93%,223.93%,10.81,-,-,20.74%,-,853.56,672.22,44.93,-,-
Vindhya Telelinks,https://scanx.trade/company/vindhya-telelinks-ltd,"1,411.80",-0.99%,"1,411.90","3,826","1,673.10",6.33,-2.85,"1,969.50","1,160.30",-7.60%,-4.23%,-27.50%,-5.87%,73.95%,0.42,1.12%,7.11%,7.17%,213.76,"1,447.43","1,491.12",43.21,50.00%,-
NIBE,https://scanx.trade/company/kavita-fabrics-ltd,"1,143.30",0.52%,"1,152.00","15,881","1,657.93",819.42,38.24,"2,001.00",761.5,6.63%,-15.10%,-28.23%,-28.23%,-28.23%,7.08,0.11%,-,15.44%,-,"1,151.77","1,344.20",53.99,0.00%,-
Southern Petrochemical Industries,https://scanx.trade/company/southern-petrochemical-industries-corporation-ltd,81.39,1.52%,80.25,"4,52,724","1,657.43",8.78,33.21,128.2,66.22,-4.53%,-15.63%,9.28%,12.11%,241.97%,1.26,2.49%,30.51%,21.00%,8.47,86.02,89.06,45.94,50.00%,70.00%
Sanghi Industries,https://scanx.trade/company/sanghi-industries-ltd,64.1,1.25%,63.53,"2,40,841","1,655.87",-4.02,30.98,70.4,50.58,1.96%,-2.14%,3.77%,-0.93%,103.17%,3.88,-,-40.40%,-7.22%,-,63.63,63.04,57.19,50.00%,-
Veranda Learning Solutions,https://scanx.trade/company/veranda-learning-solutions-ltd,176.49,-4.90%,185.5,"4,94,405","1,651.99",-19.19,41.09,272.5,177.86,-14.33%,-19.09%,-26.76%,-26.80%,34.47%,2.1,-,-,-9.39%,-,214.03,217.12,31.99,50.00%,-
Indo Tech Transformers,https://scanx.trade/company/indo-tech-transformers-ltd,"1,550.60",-1.41%,"1,590.40","11,383","1,646.74",19.9,2.59,"3,771.95","1,499.50",-7.27%,-12.23%,-48.08%,746.86%,1180.43%,5.16,-,-,30.43%,-,"1,661.01","1,927.43",39.53,11.00%,-
Anondita Medicare,https://scanx.trade/company/anondita-medicare-ltd,910.35,5.00%,910.35,"77,000","1,646.52",95.48,41.09,867,261.75,49.38%,144.23%,214.73%,214.73%,214.73%,14.61,-,-,48.42%,-,629.92,-,86.51,-,-
Exicom Tele-Systems,https://scanx.trade/company/exicom-telesystems-ltd,117.68,-0.38%,117.8,"1,86,826","1,636.69",-6.24,2.59,265.35,101.41,3.94%,-22.00%,-53.14%,-45.64%,-45.64%,2.21,-,-,-5.57%,-,124.92,150.44,49.49,60.00%,-
Dolphin Offshore,https://scanx.trade/company/dolphin-offshore-ltd,409,-6.98%,440,"30,384","1,636.19",33.51,-127.61,608,201,13.44%,4.66%,-25.64%,3472.05%,3472.05%,5.87,-,-,11.16%,-,381.11,384.26,56.25,-,-
Meghmani Organics,https://scanx.trade/company/mol.ltd,64.25,-0.56%,64.55,"6,58,405","1,633.97",41.39,22.69,106.3,56.11,-4.89%,-24.31%,-19.54%,-40.65%,-28.01%,1.07,-,-6.94%,4.17%,-,71.11,79.6,40.39,64.95%,75.00%
Dynamic Cables,https://scanx.trade/company/dynamic-cables-ltd,336.95,-1.40%,338.8,"67,691","1,632.81",21.54,22.62,544.5,227.5,-2.50%,-18.18%,-33.66%,278.68%,393.34%,4.05,0.07%,17.65%,26.48%,15.68,365.28,382.89,44.83,50.00%,-
Fusion Finance,https://scanx.trade/company/fusion-micro-finance-ltd,161,-0.65%,161.15,"49,171","1,626.48",-1.64,-3.94,211.8,123.96,-3.16%,-16.21%,-4.39%,-52.74%,-48.81%,0.87,-,16.67%,-3.59%,34.7,170.34,170.91,45.83,50.00%,60.00%
TAC Infosec,https://scanx.trade/company/tac-infosec-ltd,774.9,0.80%,781.2,"18,000","1,624.13",109.04,40.47,"1,697.00",676,-3.16%,-26.25%,-36.90%,154.48%,154.48%,29.23,-,-,28.68%,-,793.48,613,47.95,-,-
Jindal Drilling & Industries,https://scanx.trade/company/jindal-drilling-industries-ltd,559.15,-2.76%,577,"1,41,290","1,620.48",4.95,-127.61,990.35,490.5,-1.89%,-6.82%,-27.26%,113.91%,566.45%,0.93,0.17%,3.75%,15.00%,28.61,552.64,641.05,57.87,50.00%,70.00%
Sanstar,https://scanx.trade/company/sanstarltd,87.53,-2.07%,90.61,"2,28,968","1,595.18",24.47,41.09,133.8,80,-4.80%,-7.88%,-26.44%,-23.93%,-23.93%,2.66,-,26.31%,31.75%,3.62,92.32,91.85,40.71,60.00%,-
Wendt,https://scanx.trade/company/wendt-india-ltd,"7,962.50",-0.67%,"8,044.50","3,081","1,592.50",58.2,41.71,"17,321.25","7,575.00",-0.21%,-14.08%,-50.89%,9.21%,152.07%,6.46,0.62%,19.31%,20.87%,198.05,"8,328.53","9,203.12",43.32,50.00%,70.00%
Sumeet Industries,https://scanx.trade/company/sumeet-ind-ltd,30.18,-2.24%,31.86,"62,106","1,588.45",9.04,5.34,181.7,10.66,-4.70%,-81.04%,169.71%,2570.80%,5703.85%,9.44,-,-,70.33%,-,33.08,18.74,45.84,-,-
Omaxe,https://scanx.trade/company/omaxe-ltd,86.75,4.04%,83.49,"39,34,876","1,586.66",-2.34,-2.85,117,62.5,28.77%,2.13%,-20.94%,23.22%,8.64%,-2.74,-,-,-61.52%,-,73.86,84.35,77.85,50.00%,-
Arman Financial Services,https://scanx.trade/company/arman-financial-services-ltd,"1,508.30",0.03%,"1,507.50","11,048","1,585.62","-1,460.34",-3.94,"1,834.60","1,109.95",-8.35%,-1.40%,26.02%,8.86%,107.74%,1.81,-,25.65%,15.05%,165.64,"1,598.51","1,539.24",46.14,50.00%,-
Astec Lifesciences,https://scanx.trade/company/astec-lifesciences-ltd,711.4,-0.74%,717,"40,657","1,585.12",-14.03,22.69,"1,254.26",607.05,-20.07%,-13.21%,-33.94%,-57.39%,-41.30%,3.86,-,-12.69%,-20.22%,-,719.53,769.21,44.96,50.00%,-
Salasar Techno Engineering,https://scanx.trade/company/salasar-techno-engineering-ltd,9.16,-2.35%,9.39,"1,12,01,059","1,581.72",52.06,25.38,14.75,6.91,-10.02%,-4.18%,-33.48%,-1.51%,294.83%,1.94,-,10.04%,11.00%,0.31,9.63,8.73,45.59,50.00%,-
Huhtamaki PPL,https://scanx.trade/company/huhtamaki-ppl-ltd,208.66,-0.94%,209.6,"47,613","1,575.84",15.99,13.6,282.7,170.56,-4.48%,-11.53%,-24.66%,5.89%,-29.27%,1.29,0.95%,12.25%,13.88%,14.49,230.46,216.25,36.94,66.69%,-
BF Investment,https://scanx.trade/company/bf-investment-ltd,418.2,-0.38%,417.4,"16,782","1,575.26",19.27,-3.94,747.85,394.55,-4.15%,-13.03%,-42.78%,53.30%,44.18%,0.22,-,6.99%,3.98%,115.17,447.07,475.43,42.31,50.00%,-
Beta Drugs,https://scanx.trade/company/beta-drugs-ltd,"1,554.20",-2.27%,"1,598.90","4,604","1,568.90",37.85,41.25,"2,148.00","1,501.00",-3.88%,-15.29%,-20.25%,128.56%,1263.93%,8.15,-,-,19.18%,-,"1,689.93","1,773.82",39.21,-,-
Satin Creditcare,https://scanx.trade/company/satin-creditcare-ltd,141.87,0.30%,141.09,"60,754","1,567.25",11.65,-3.94,175.9,131.8,-5.45%,-1.38%,-3.48%,-3.09%,96.90%,0.6,-,18.16%,12.80%,41.04,148.19,151.54,42.49,50.00%,-
SEPC,https://scanx.trade/company/shriram-epc-ltd,9.83,-1.99%,9.95,"60,42,527","1,563.13",47.76,14.23,21.44,8.51,1.87%,-23.86%,-52.56%,7.55%,128.60%,1.04,-,-0.45%,4.38%,0.15,10.37,12.41,48,50.00%,-
Precision Camshafts,https://scanx.trade/company/precision-camshafts-ltd,163.56,0.57%,162.11,"1,28,064","1,553.59",23.35,176.6,380,145,-6.69%,-21.86%,-50.72%,71.90%,257.90%,1.89,0.62%,5.39%,10.98%,3.73,175.39,184.45,47.17,50.00%,-
Jagran Prakashan,https://scanx.trade/company/jagran-prakashan-ltd,71.23,0.14%,71.14,"51,623","1,550.35",11.49,11.32,84.75,65.01,2.12%,-0.17%,-14.27%,0.68%,69.80%,0.8,8.42%,10.19%,7.12%,8.28,70.6,71.9,61.58,50.00%,-
D-Link,https://scanx.trade/company/dlink-india-ltd,435.1,3.66%,420.5,"1,91,795","1,544.82",14.4,41.17,589.55,349.45,1.53%,-9.74%,-22.83%,104.22%,295.37%,3.16,4.76%,21.29%,29.43%,26.84,442.04,474.41,52.28,50.00%,75.00%
Jindal Photo,https://scanx.trade/company/jindal-photo-ltd,"1,501.20",0.05%,"1,515.00","5,815","1,539.98",10.01,-3.94,"1,616.60",536,8.14%,33.01%,58.51%,418.46%,5810.24%,1.45,-,-,22.43%,-,"1,435.56","1,035.97",56.28,-,-
Expleo Solutions,https://scanx.trade/company/expleo-solutions-ltd,991.9,-0.64%,"1,004.20","15,155","1,539.40",14.93,40.47,"1,459.75",735.35,-4.76%,-0.35%,-31.05%,-16.81%,87.91%,2.21,4.99%,14.80%,20.76%,60.67,"1,033.36","1,032.08",41.38,50.00%,-
GTL Infrastructure,https://scanx.trade/company/gtl-infrastructure-ltd,1.2,-1.64%,1.22,"4,69,65,784","1,537.09",-1.77,18.4,2.17,1.18,-7.69%,-20.53%,-40.89%,-,60.00%,-0.24,-,21.15%,8.82%,-,1.36,1.5,31.54,-,-
Magellanic Cloud,https://scanx.trade/company/magellanic-cloud-ltd,26.25,0.42%,26.06,"23,50,179","1,534.04",14.36,40.47,105.42,23.08,-49.17%,-68.49%,-65.42%,-65.42%,-65.42%,2.53,0.11%,-,25.56%,-,45.63,66.96,30.24,36.00%,67.42%
Navkar Corporation,https://scanx.trade/company/navkar-corporation-ltd,101.78,0.11%,102.47,"2,43,001","1,531.98",-65.84,41.09,176.43,80.54,5.92%,-17.16%,-36.80%,81.10%,166.79%,0.79,-,5.91%,7.11%,-,107.16,110.87,51.36,50.00%,-
Unitech Group,https://scanx.trade/company/unitech-group-ltd,5.85,-0.68%,5.98,"59,89,730","1,530.54",-0.57,-2.85,10.81,5.5,-3.62%,-17.72%,-37.16%,234.29%,207.89%,-0.19,-,-,4.72%,-,6.46,6.96,38.8,-,-
Seshasayee Paper & Boards,https://scanx.trade/company/seshasayee-paper-boards-ltd,242.12,-0.81%,240.7,"5,151","1,527.01",18.87,160.41,324.5,226.19,-0.79%,-7.04%,-23.46%,-7.99%,62.55%,0.76,0.98%,14.17%,6.53%,37.42,246.69,268.57,49.76,50.00%,-
One Point One Solutions,https://scanx.trade/company/one-point-one-solutions-ltd,58.08,1.08%,58,"37,83,875","1,526.79",41.34,40.47,69.99,41.01,15.72%,30.99%,4.20%,283.37%,2540.00%,3.55,-,-,10.81%,-,51.37,51.74,69.04,-,-
Suryoday Small Finance Bank,https://scanx.trade/company/suryoday-small-finance-bank-ltd,143.51,2.12%,140.53,"2,83,643","1,525.37",23,9.52,161.48,97.97,1.96%,5.34%,5.56%,35.51%,-48.34%,0.75,-,4.90%,6.35%,22.44,141.95,132.32,58.07,65.09%,-
Motisons Jewellers,https://scanx.trade/company/motisons-jewellers-ltd,15.47,-0.64%,15.53,"22,49,981","1,522.96",27.39,15.55,30.87,14.6,-8.46%,-17.49%,-42.04%,49.32%,49.32%,3.47,-,-,15.93%,-,16.46,18.35,34.59,50.00%,-
Megasoft,https://scanx.trade/company/megasoft-ltd,205.07,1.37%,200.9,"3,03,730","1,512.80",10.75,17.31,231,49.06,18.90%,23.93%,118.25%,525.21%,2525.74%,5.86,-,-,9.01%,-,189.4,122.47,62.48,-,-
Den Networks,https://scanx.trade/company/den-networks-ltd,31.65,-0.09%,31.78,"2,31,665","1,510.41",7.94,11.32,45.1,28.14,4.39%,-8.84%,-23.50%,-6.77%,-49.88%,0.41,-,7.26%,6.78%,4.56,32.06,34.37,50.31,50.00%,-
Dolat Algotech,https://scanx.trade/company/dolat-investments-ltd,85.69,-,85.79,"1,90,998","1,508.14",12.46,-3.94,134.8,68,24.08%,2.96%,-33.66%,40.13%,61.83%,1.44,0.29%,18.19%,34.33%,12.28,78.56,86.23,59.51,50.00%,-
Capital India Finance,https://scanx.trade/company/capital-india-finance-ltd,38.53,1.00%,38.35,"9,48,756","1,501.55",42.98,-3.94,44.5,29.25,22.12%,1.66%,7.03%,7.03%,7.03%,2.22,0.05%,-,5.93%,-,34.92,-,68.22,50.00%,-
Rishabh Instruments,https://scanx.trade/company/rishabh.ltd,389.4,-0.93%,390.8,"12,262","1,495.66",27.17,2.59,490,201.5,-4.42%,-5.37%,17.57%,-12.13%,-12.13%,2.2,-,-,5.04%,-,399.09,331.94,45.63,-,-
DAM Capital Advisors,https://scanx.trade/company/dam-capital-advisors-ltd,211.22,-1.78%,215.7,"3,46,079","1,493.03",13.54,-3.94,456.9,195.55,-6.28%,-16.06%,-49.12%,-49.12%,-49.12%,4.91,0.46%,-,52.07%,-,232.33,234.87,42.18,65.00%,70.00%
Godavari Biorefineries,https://scanx.trade/company/godavari-biorefineriesltd,290.16,-0.52%,293.5,"1,37,311","1,484.92",74.39,-155.68,348.7,145,19.02%,7.15%,-9.27%,-15.45%,-15.45%,2.06,-,-,6.56%,-,259.22,243.85,69.45,-,-
Quick Heal Technologies,https://scanx.trade/company/quick-heal-technologies-ltd,273.75,-0.40%,273.6,"71,244","1,482.21","-1,961.07",40.47,680,245,-8.66%,-15.00%,-58.27%,59.44%,72.28%,3.33,-,1.52%,0.27%,7.66,304.17,312.24,36.57,59.23%,-
Antelopus Selan Energy,https://scanx.trade/company/selan-exploration-technology-ltd,419.9,-1.78%,431,"31,055","1,476.47",26.7,-127.61,879,362.6,0.51%,-23.65%,-49.57%,88.55%,237.00%,2.56,-,8.57%,18.03%,30.19,471.28,557.08,46.95,60.00%,-
DEE Development Engineers,https://scanx.trade/company/dee-development-engineers-ltd,213,-3.17%,223.3,"90,777","1,472.43",31.07,25.38,336.2,167,-2.07%,-23.48%,-33.23%,-36.48%,-36.48%,1.82,-,3.06%,10.51%,3.8,231.43,259.99,42.89,60.00%,-
Rama Steel Tubes,https://scanx.trade/company/rama-steel-tubes-ltd,9.44,-0.42%,9.48,"33,57,051","1,471.00",86.36,25.38,14.9,8.5,-4.45%,-6.90%,-22.30%,-11.61%,1473.33%,3.33,-,10.41%,10.61%,0.2,10.06,10.61,37.28,50.00%,60.00%
Gandhar Oil Refinery,https://scanx.trade/company/gandhar-oil-refinery-ltd,150.13,1.74%,147.31,"2,98,364","1,469.47",14.66,12.6,223.01,120.56,13.30%,4.11%,-30.97%,-50.19%,-50.19%,1.12,0.34%,28.04%,11.24%,12.94,135.48,150.21,73.46,50.00%,-
TTK Healthcare,https://scanx.trade/company/ttk-healthcare-ltd,"1,038.30",0.01%,"1,054.00","3,888","1,467.15",22.12,64.82,"1,458.00","1,025.00",-4.81%,-12.79%,-27.83%,2.33%,79.62%,1.36,0.96%,6.28%,10.43%,44.94,"1,112.81","1,189.03",32.65,50.00%,-
Punjab Chemicals & Crop Protection,https://scanx.trade/company/punjab-chemicals-crop-protection-ltd,"1,195.10",-2.62%,"1,227.90","9,001","1,465.45",28.67,22.69,"1,666.00",662,-7.57%,-3.71%,12.93%,8.54%,59.37%,3.75,0.25%,16.23%,15.68%,36.84,"1,325.59","1,189.18",36.17,50.00%,-
PNB Gilts,https://scanx.trade/company/pnb-gilts-ltd,81.39,-0.80%,81.52,"91,532","1,465.10",8.24,-3.94,119.8,74.25,-3.86%,-18.84%,-27.36%,30.22%,81.47%,0.9,1.22%,-6.13%,6.78%,3.51,85.99,93.91,45.71,50.00%,60.00%
IFGL Refractories,https://scanx.trade/company/ifgl-refractories-ltd,203.25,-1.61%,204.65,"11,545","1,465.00",50.29,34.14,338,163.03,-4.78%,-23.57%,-8.28%,64.18%,100.25%,1.32,1.69%,7.62%,6.10%,21.29,226.56,232.75,41.27,50.00%,-
Vinyas Innovative Technologies,https://scanx.trade/company/vinyas-innovative-technologies-ltd,"1,163.60",-0.97%,"1,169.15","3,300","1,464.36",76.15,30.78,"1,440.00",575.8,-3.09%,-8.16%,24.45%,235.82%,235.82%,10.06,-,-,24.30%,-,"1,195.00","1,092.05",44.24,-,-
Paushak,https://scanx.trade/company/paushak-ltd,592.55,-0.37%,591.95,"9,003","1,461.05",32.16,205.33,633.05,541.55,0.75%,0.75%,0.75%,0.75%,0.75%,3.05,0.42%,-,11.17%,-,-,-,86.81,-,-
Ivalue Infosolutions,https://scanx.trade/company/ivalue-infosolutions-ltd,272.7,-1.85%,275.2,"72,586","1,460.03",15.27,8.93,340,250.7,-8.90%,-3.25%,-3.25%,-3.25%,-3.25%,2.95,-,-,25.22%,-,290.16,-,40.7,-,75.00%
Master Trust,https://scanx.trade/company/master-trust-ltd,118.61,-0.37%,119.98,"2,01,385","1,459.09",12.37,-3.94,176.69,100.5,8.47%,-14.03%,-30.06%,-32.32%,-32.32%,1.94,-,-,29.08%,-,121.58,139.78,47.8,50.00%,-
